Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
2.383	-0.265	-23.045	0.149	0.294	0.019	6268.000
2.016	0.091	-21.425	0.127	0.265	0.055	6567.000
1.691	-0.506	-20.645	0.121	0.256	-0.017	6747.000
0.752	-0.305	-19.894	0.116	0.236	0.021	7014.000
0.631	-0.413	-20.348	0.117	0.267	0.007	7014.000
1.984	0.048	-19.643	0.123	0.280	0.020	7531.000
2.655	0.006	-19.355	0.126	0.288	0.029	7660.000
0.141	-1.578	-20.856	0.117	0.340	-0.009	7805.000
4.942	-0.202	-18.880	0.120	0.263	0.007	7909.000
3.710	-0.281	-21.232	0.127	0.299	-0.009	7965.000
2.104	-0.603	-20.349	0.129	0.282	0.035	7996.000
